"year","cd","type","margin_favor","margin","STATE","state_po","total_pop","hispanic_pop","non_hispanic_pop","white_nonhisp","black_nonhisp","asian_nonhisp","pop_25plus","bachelors_plus","mean_income"
2020,"CA47","D","D",-0.26543759,"California","CA",714671,258074,456597,202701,49283,165736,493085,166756,97577
2020,"CA48","Lean Dem","R",0.021199696,"California","CA",720333,155166,565167,376852,7487,140374,527554,243235,140665
2020,"CA49","D","D",-0.062591525,"California","CA",750049,202459,547590,426226,15999,56889,495755,228621,136656
2020,"CA50","Lean Rep","R",0.079063992,"California","CA",757110,249089,508021,390584,19276,46800,502529,150605,102690
2020,"CA51","D","D",-0.366095109,"California","CA",710592,504732,205860,85240,42134,55304,468234,75318,69078
2020,"CA52","D","D",-0.23151616,"California","CA",762971,114821,648150,409708,21028,160820,547776,326527,136161
2020,"CA53","D","D",-0.190020845,"California","CA",764279,265036,499243,287394,55558,103587,539517,212008,103344
2020,"CO01","D","D",-0.501157032,"Colorado","CO",840731,218473,622258,481996,63197,30886,610852,305523,108021
2020,"CO02","D","D",-0.260592674,"Colorado","CO",829123,96059,733064,651872,7529,28623,557942,313008,115830
2020,"CO03","Lean Rep","R",0.061753614,"Colorado","CO",758257,187216,571041,515036,5940,6353,527492,167515,77839
2020,"CO04","R","R",0.235022847,"Colorado","CO",870537,195749,674788,597243,12198,22563,557921,201452,103464
2020,"CO05","R","R",0.202154452,"Colorado","CO",832377,140234,692143,562985,43048,22354,541620,200444,89891
2020,"CO06","D","D",-0.171326399,"Colorado","CO",835594,184386,651208,470512,75842,54681,555267,239647,113214
2020,"CO07","D","D",-0.215307854,"Colorado","CO",807095,241273,565822,481019,13556,29760,549660,195264,96391
2020,"CT01","D","D",-0.287933409,"Connecticut","CT",717654,126093,591561,412302,104343,43560,500575,190272,100086
2020,"CT02","D","D",-0.211688131,"Connecticut","CT",699901,65640,634261,546380,26363,24464,489753,177573,104371
2020,"CT03","D","D",-0.189732536,"Connecticut","CT",715360,121238,594122,430387,98366,33709,497699,185584,98204
2020,"CT04","D","D",-0.260052229,"Connecticut","CT",746816,158683,588133,429692,83565,41029,501154,259064,170112
2020,"CT05","D","D",-0.115860427,"Connecticut","CT",726213,151639,574574,460471,48300,27697,500024,183507,106086
2020,"DE00","D","D",-0.17406353,"Delaware","DE",989948,104290,885658,579851,212960,42398,679870,222043,92308
2020,"FL01","R","R",0.30595446,"Florida","FL",807881,61715,746166,565520,101143,21198,543096,155056,79938
2020,"FL02","R","R",0.957294735,"Florida","FL",727856,55005,672851,537827,84614,13237,519353,125585,71698
2020,"FL03","R","R",0.142799327,"Florida","FL",766133,86459,679674,490232,119884,28357,501857,145387,72955
2020,"FL04","R","R",0.221955084,"Florida","FL",871884,86345,785539,612147,80365,44018,579917,238357,102692
2020,"FL05","D","D",-0.302555398,"Florida","FL",748910,74491,674419,276549,342754,19726,480092,102961,57616
2020,"FL06","R","R",0.212599576,"Florida","FL",796254,110333,685921,559426,75081,14419,584867,144131,73132
2020,"FL07","D","D",-0.121038556,"Florida","FL",788518,207693,580825,421207,77273,41664,534659,221834,91885
2020,"FL08","R","R",0.227056817,"Florida","FL",783753,93322,690431,558427,70726,18509,575140,177197,82728
2020,"FL09","D","D",-0.12064808,"Florida","FL",955602,418271,537331,356187,107355,31279,609993,157080,73003
2020,"FL10","D","D",-0.272438409,"Florida","FL",873804,262666,611138,291981,216109,45754,571568,183041,85134
2020,"FL11","R","R",0.334443338,"Florida","FL",820835,97696,723139,620297,55538,11920,624482,136362,65949
2020,"FL12","R","R",0.257642866,"Florida","FL",807137,116215,690922,589208,38802,23543,586282,167031,78827
2020,"FL13","D","D",-0.060799015,"Florida","FL",727465,81443,646022,496830,84745,27681,565640,178635,80074
2020,"FL14","D","D",-0.205150805,"Florida","FL",787447,247323,540124,333562,124812,44908,551862,208888,88264
2020,"FL15","Lean Rep","R",0.107704437,"Florida","FL",819853,205858,613995,434723,113035,25500,556577,147785,75824
2020,"FL16","Likely Rep","R",0.110005694,"Florida","FL",884047,166861,717186,578763,78639,21808,636306,209965,91560
2020,"FL17","R","R",0.305596306,"Florida","FL",779955,125484,654471,563043,52303,10345,605858,138454,74793
2020,"FL18","Likely Rep","R",0.148118829,"Florida","FL",794724,142965,651759,500555,99230,17777,585060,190773,96906
2020,"FL19","R","R",0.225588127,"Florida","FL",835012,177133,657879,558929,55477,14331,643804,212898,97787
2020,"FL20","D","D",-0.573535478,"Florida","FL",776283,211163,565120,121822,392429,21440,533411,116103,66573
2020,"FL21","D","D",-0.199241862,"Florida","FL",788007,197002,591005,417538,115802,23057,583295,210619,97926
2020,"FL22","D","D",-0.17203101,"Florida","FL",785756,179644,606112,413394,113349,27418,568996,231623,103658
2020,"FL23","D","D",-0.164033814,"Florida","FL",769356,311985,457371,287487,99362,34795,546551,221764,99065
2020,"FL24","D","D",-0.551519483,"Florida","FL",742542,326037,416505,84549,299849,10903,516195,111604,62449
2020,"FL25","R","R",1,"Florida","FL",771434,569397,202037,153454,26383,9241,561740,145252,73743
2020,"FL26","Lean Dem","R",0.03448618,"Florida","FL",787914,566065,221849,117925,75413,12300,531914,150287,81197
2020,"FL27","Likely Dem","R",0.027357679,"Florida","FL",739825,518669,221156,158921,26580,14498,556811,231274,106825
2020,"GA01","R","R",0.166984401,"Georgia","GA",755781,59037,696744,431902,210507,16745,496490,130369,74887
2020,"GA02","D","D",-0.182310628,"Georgia","GA",673028,38403,634625,259967,342517,8252,438665,80839,57373
2020,"GA03","R","R",0.300911887,"Georgia","GA",763075,49428,713647,467888,192863,17263,499263,140132,85864
2020,"GA04","D","D",-0.601532017,"Georgia","GA",773761,84862,688899,160581,450732,44244,501800,162634,77670
2020,"GA05","D","D",-0.702986999,"Georgia","GA",788126,65869,722257,229087,426948,33970,526309,237610,92504
2020,"GA06","Likely Dem","D",-0.091779483,"Georgia","GA",765793,107495,658298,425616,95123,98432,524350,333070,138432
2020,"GA07","Lean Dem","D",-0.027825038,"Georgia","GA",859440,179379,680061,327075,170085,145216,534642,228618,105479
2020,"GA08","R","R",0.290367614,"Georgia","GA",719919,49867,670052,410808,219916,11801,472310,107973,67851
2020,"GA09","R","R",0.571613783,"Georgia","GA",775367,102240,673127,580920,49217,11496,524230,127374,78778
2020,"GA10","R","R",0.246201572,"Georgia","GA",775012,52350,722662,480661,189967,19486,491818,136984,81273
2020,"GA11","R","R",0.20852366,"Georgia","GA",802515,101218,701297,501446,128042,28203,524086,222158,109564
2020,"GA12","R","R",0.167614214,"Georgia","GA",738624,49500,689124,390796,252780,13725,475226,104993,68001
2020,"GA13","D","D",-0.547916979,"Georgia","GA",792916,95919,696997,164627,479367,19361,502138,148659,79206
2020,"GA14","R","R",0.494202357,"Georgia","GA",728551,87890,640661,530782,70055,7486,485098,91249,71130
2020,"HI01","D","D",-0.395391097,"Hawaii","HI",729831,56779,673052,108534,13288,363212,506766,187054,111205
2020,"HI02","D","D",-0.295199341,"Hawaii","HI",725440,82144,643296,205831,8589,168346,489657,147435,103323
2020,"IA01","Toss Up","R",0.02533428,"Iowa","IA",780180,35924,744256,661838,36973,12586,519100,143970,80447
2020,"IA02","Toss Up","R",1.44931e-05,"Iowa","IA",785353,48872,736481,648427,36591,17763,522754,153928,77354
2020,"IA03","Lean Dem","D",-0.013471842,"Iowa","IA",858974,67367,791607,683149,40685,30926,564175,193867,88911
2020,"IA04","R","R",0.230657916,"Iowa","IA",765862,63823,702039,644787,15072,13742,498835,125350,74016
2020,"ID01","R","R",0.391115104,"Idaho","ID",954891,111483,843408,764606,5631,11868,609127,166273,78803
2020,"ID02","R","R",0.323300105,"Idaho","ID",884215,127924,756291,685917,9154,14168,536217,162074,75879
2020,"IL01","D","D",-0.476484284,"Illinois","IL",705949,86039,619910,232760,351002,15309,478667,143977,77228
2020,"IL02","D","D",-0.576282219,"Illinois","IL",679628,105835,573793,162692,384201,4791,459056,108640,69632
2020,"IL03","D","D",-0.127574565,"Illinois","IL",725625,246519,479106,395508,34088,32074,480326,141186,95599
2020,"IL04","D","D",-0.681076786,"Illinois","IL",698570,478012,220558,151145,28901,25850,452742,121966,79965
2020,"IL05","D","D",-0.441388874,"Illinois","IL",743449,158032,585417,477957,21438,57811,535142,304354,132513
2020,"IL06","D","D",-0.073838719,"Illinois","IL",732745,83731,649014,526865,19580,74934,499696,268138,139547
2020,"IL07","D","D",-0.67066824,"Illinois","IL",764663,140666,623997,215199,325063,58579,511346,225730,104345
2020,"IL08","D","D",-0.463213632,"Illinois","IL",716990,213767,503223,345400,34110,102111,483351,165822,93736
2020,"IL09","D","D",-0.419644066,"Illinois","IL",742156,89486,652670,453633,63223,104583,514869,286504,118200
2020,"IL10","D","D",-0.277586675,"Illinois","IL",724946,181383,543563,384061,46823,86464,471886,216430,126787
2020,"IL11","D","D",-0.265960043,"Illinois","IL",706376,198778,507598,339531,79602,63295,469113,171206,101947
2020,"IL12","R","R",0.208618679,"Illinois","IL",674870,27450,647420,491549,112197,8037,477238,116123,70822
2020,"IL13","Toss Up","R",0.089258635,"Illinois","IL",695583,32378,663205,513151,83981,30629,456385,142828,72864
2020,"IL14","Likely Dem","D",-0.013399759,"Illinois","IL",753195,105351,647844,553812,24416,39148,494137,211746,122231
2020,"IL15","R","R",0.468921099,"Illinois","IL",680293,21558,658735,599651,27692,4505,479487,98664,71877
2020,"IL16","R","R",0.29431717,"Illinois","IL",692552,77898,614654,545522,28720,10808,473978,109798,79227
2020,"IL17","Lean Dem","D",-0.040507511,"Illinois","IL",673770,68165,605605,482554,82258,9250,465871,92714,65199
2020,"IL18","R","R",0.408199979,"Illinois","IL",701148,22362,678786,601761,28317,19102,483410,159448,87628
2020,"IN01","D","D",-0.161900363,"Indiana","IN",732202,122723,609479,429939,138976,10013,490031,117571,78615
2020,"IN02","R","R",0.229877281,"Indiana","IN",731881,82061,649820,554882,50215,9935,477388,108935,72019
2020,"IN03","R","R",0.356797063,"Indiana","IN",758914,53525,705389,606884,45737,20779,490668,117918,73635
2020,"IN04","R","R",0.332472712,"Indiana","IN",764870,55097,709773,617420,34038,22268,494233,136033,77432
2020,"IN05","Toss Up","R",0.04080956,"Indiana","IN",804869,46609,758260,618729,69171,32264,531672,249573,105208
2020,"IN06","R","R",0.408929567,"Indiana","IN",723540,25115,698425,640809,18625,10014,489786,110151,71689
2020,"IN07","D","D",-0.248704737,"Indiana","IN",787266,112712,674554,373848,226913,34370,494215,126918,63738
2020,"IN08","R","R",0.371009647,"Indiana","IN",715369,22467,692902,625016,29882,7627,491252,108181,71060
2020,"IN09","R","R",0.277104373,"Indiana","IN",766617,33882,732735,653477,23943,19381,506935,137514,77421
2020,"KS01","R","R",0.423194428,"Kansas","KS",700773,120974,579799,514396,21147,10533,446264,114434,69087
2020,"KS02","Likely Rep","R",0.14514369,"Kansas","KS",713007,52062,660945,563705,31643,9909,472698,142266,73012
2020,"KS03","D","D",-0.100570638,"Kansas","KS",792286,110697,681589,535307,62137,40553,517653,249426,109188
2020,"KS04","R","R",0.273049268,"Kansas","KS",731814,98870,632944,509167,48425,24230,475375,142487,75391
2020,"KY01","R","R",0.499856912,"Kentucky","KY",719139,26323,692816,610103,47511,4048,487441,87214,62518
2020,"KY02","R","R",0.446982372,"Kentucky","KY",778648,32859,745789,650544,42378,14357,512693,109356,72299
2020,"KY03","D","D",-0.253321815,"Kentucky","KY",756852,58094,698758,469454,165465,25260,515415,170239,79108
2020,"KY04","R","R",0.34173575,"Kentucky","KY",773543,32480,741063,667729,26862,10233,520212,155286,88528
2020,"KY05","R","R",0.684156123,"Kentucky","KY",693381,10587,682794,650657,9268,2837,482760,66970,52382
2020,"KY06","Likely Rep","R",0.163659664,"Kentucky","KY",784273,47511,736762,616277,66280,17108,515970,170267,77111
2020,"LA01","R","R",0.469055931,"Louisiana","LA",812585,94224,718361,539201,115718,18961,551028,174385,85930
2020,"LA02","D","D",-0.486024443,"Louisiana","LA",775292,67623,707669,209412,450799,20074,543009,132997,64412
2020,"LA03","R","R",0.49872986,"Louisiana","LA",785824,42525,743299,506283,191865,13564,524465,117210,72481
2020,"LA04","R","R",0.34936623,"Louisiana","LA",728346,34305,694041,406687,243036,7714,498892,100328,67932
2020,"LA05","R","R",0.04380473,"Louisiana","LA",739244,26825,712419,429415,247949,6754,497769,93574,61494
2020,"LA06","R","R",0.454991497,"Louisiana","LA",816466,57047,759419,505704,203053,18269,524357,162053,88896
2020,"MA01","D","D",-0.504384035,"Massachusetts","MA",730467,141234,589233,500632,41732,16695,507474,155207,82647
2020,"MA02","D","D",-0.298499812,"Massachusetts","MA",780054,89221,690833,557687,42037,49695,507576,203558,98563
2020,"MA03","D","D",-0.49515726,"Massachusetts","MA",796664,171123,625541,484899,29919,66418,526622,205287,110433
2020,"MA04","D","D",-0.208564137,"Massachusetts","MA",777137,41722,735415,608768,24518,57762,524341,272103,147783
2020,"MA05","D","D",-0.467076791,"Massachusetts","MA",794966,82467,712499,513881,39291,101653,546183,323121,143232
2020,"MA06","D","D",-0.299800696,"Massachusetts","MA",777832,84468,693364,597935,24852,35862,550588,254975,125823
2020,"MA07","D","D",-0.699697403,"Massachusetts","MA",799816,172992,626824,312132,161032,94388,549956,256098,104737
2020,"MA08","D","D",-0.5509924,"Massachusetts","MA",798458,51866,746592,540585,72988,71761,559758,275540,127675
2020,"MA09","D","D",-0.239748041,"Massachusetts","MA",774523,52592,721931,632378,20686,10666,542833,198253,102680
2020,"MD01","R","R",0.270587878,"Maryland","MD",743611,37830,705781,563176,87922,19057,512905,167141,101661
2020,"MD02","D","D",-0.356842536,"Maryland","MD",785331,75600,709731,341512,279061,44873,526976,176220,93211
2020,"MD03","D","D",-0.397209584,"Maryland","MD",774165,86436,687729,407875,178405,59888,524297,260701,122310
2020,"MD04","D","D",-0.593598831,"Maryland","MD",798925,155350,643575,186278,397277,26122,520444,185623,111122
2020,"MD05","D","D",-0.377809091,"Maryland","MD",795379,88327,707052,322396,303645,34539,515947,187224,121772
2020,"MD06","D","D",-0.196327306,"Maryland","MD",791619,122372,669247,423929,109586,93108,530523,226506,115522
2020,"MD07","D","D",-0.435830428,"Maryland","MD",703752,36756,666996,226889,342459,65134,497475,197959,96953
2020,"MD08","D","D",-0.366502407,"Maryland","MD",784442,127074,657368,441727,96672,75241,536131,301804,150968
2020,"ME01","D","D",-0.236608249,"Maine","ME",704211,15632,688579,629672,15325,11415,504468,198316,88094
2020,"ME02","Likely Dem","D",-0.059806901,"Maine","ME",658148,10977,647171,598592,9790,5253,477917,120859,67928
2020,"MI01","R","R",0.24807373,"Michigan","MI",704350,14560,689790,626274,7361,3978,509687,137259,69156
2020,"MI02","R","R",0.209769695,"Michigan","MI",757321,77904,679417,574635,48471,19018,492160,134027,77005
2020,"MI03","Toss Up","R",0.059194039,"Michigan","MI",753623,60241,693382,576427,62036,16437,501198,165032,85751
2020,"MI04","R","R",0.326378116,"Michigan","MI",697854,25943,671911,617526,13419,7505,483505,109476,72129
2020,"MI05","D","D",-0.126933347,"Michigan","MI",670703,36545,634158,480069,111972,5900,470800,94670,65045
2020,"MI06","Lean Rep","R",0.156765529,"Michigan","MI",721654,49139,672515,559700,58113,12044,482110,139307,77635
2020,"MI07","R","R",0.17502395,"Michigan","MI",715305,35478,679827,604396,30523,7775,494581,127462,80833
2020,"MI08","Lean Dem","D",-0.035945408,"Michigan","MI",739881,42038,697843,582289,41456,34606,491663,205661,99242
2020,"MI09","D","D",-0.192981006,"Michigan","MI",720428,20841,699587,523707,101997,36940,516935,163997,85325
2020,"MI10","R","R",0.325604096,"Michigan","MI",725177,26088,699089,631059,23058,12487,511805,126585,85897
2020,"MI11","Lean Dem","D",-0.023803868,"Michigan","MI",757811,31297,726514,562664,41368,87600,520233,253055,116116
2020,"MI12","D","D",-0.357555436,"Michigan","MI",747156,53662,693494,525064,82934,41279,465336,169386,85896
2020,"MI13","D","D",-0.594273921,"Michigan","MI",674566,53997,620569,217244,361272,9451,443217,75443,51960
2020,"MI14","D","D",-0.609711279,"Michigan","MI",691502,36689,654813,214597,374478,37268,470444,153771,76768
2020,"MN01","Toss Up","R",0.030754549,"Minnesota","MN",690726,51326,639400,566704,26946,20178,452984,136753,84523
2020,"MN02","Likely Dem","D",-0.022567089,"Minnesota","MN",731958,53765,678193,556732,44272,38504,475006,190359,109691
2020,"MN03","D","D",-0.11280582,"Minnesota","MN",737898,38811,699087,534419,64049,63358,506324,255358,132426
2020,"MN04","D","D",-0.34201545,"Minnesota","MN",726476,53401,673075,453458,79953,99672,479864,214212,100880
2020,"MN05","D","D",-0.384316562,"Minnesota","MN",736036,73986,662050,442300,125654,44917,494312,237229,94446
2020,"MN06","R","R",0.315415455,"Minnesota","MN",733957,25474,708483,621045,33231,20030,471157,146105,100940
2020,"MN07","Toss Up","R",0.135430853,"Minnesota","MN",673514,36684,636830,577116,11140,5957,450773,103030,75753
2020,"MN08","R","R",0.19196568,"Minnesota","MN",675929,12193,663736,602106,7605,4844,472018,115529,75878
2020,"MO01","D","D",-0.598242723,"Missouri","MO",714746,32516,682230,270606,349536,25513,497634,165576,69203
2020,"MO02","Toss Up","R",0.063685607,"Missouri","MO",777693,27089,750604,638902,32279,41775,542275,274022,120053
2020,"MO03","R","R",0.409406699,"Missouri","MO",804485,24437,780048,698971,27926,8582,546259,153808,85067
2020,"MO04","R","R",0.379267768,"Missouri","MO",777217,34173,743044,644016,37863,12681,505802,132100,70495
2020,"MO05","D","D",-0.202156457,"Missouri","MO",788305,85668,702637,470368,162081,16284,530814,155142,72819
2020,"MO06","R","R",0.362339578,"Missouri","MO",781005,35424,745581,657691,33967,10888,521418,150892,81260
2020,"MO07","R","R",0.423000788,"Missouri","MO",792419,47644,744775,657716,15209,11339,524677,132933,66415
2020,"MO08","R","R",0.554922992,"Missouri","MO",719043,16117,702926,625637,33913,5096,507913,86111,59881
2020,"MS01","R","R",0.374942532,"Mississippi","MS",758233,28570,729663,487314,209989,7067,508901,109456,67272
2020,"MS02","D","D",-0.320333475,"Mississippi","MS",674491,15368,659123,206192,432490,3904,454992,89887,55305
2020,"MS03","R","R",0.293354317,"Mississippi","MS",751039,21092,729947,436242,256935,9081,500105,135449,70045
2020,"MS04","R","R",1,"Mississippi","MS",777516,40190,737326,509329,179587,12253,519114,116407,66972
2020,"MT00","Lean Rep","R",0.1277271,"Montana","MT",1084225,45199,1039026,901318,5077,8077,734688,243496,76834
2020,"NC01","D","D",-0.08353556,"North Carolina","NC",739433,78384,661049,302571,310726,15940,515865,151741,67496
2020,"NC02","Likely Dem","D",-0.281304949,"North Carolina","NC",911374,102677,808697,571268,165360,26017,579601,216482,97034
2020,"NC03","R","R",0.267680222,"North Carolina","NC",756650,63461,693189,496297,144251,11700,505248,125325,69180
2020,"NC04","D","D",-0.346599989,"North Carolina","NC",875363,104051,771312,462026,174082,92060,578403,323294,105541
2020,"NC05","R","R",0.358206747,"North Carolina","NC",757711,83691,674020,525127,106647,12027,524742,141504,71048
2020,"NC06","Likely Dem","D",-0.245457828,"North Carolina","NC",795219,91526,703693,495997,156752,15858,536234,136730,73800
2020,"NC07","R","R",0.206537699,"North Carolina","NC",773424,81788,691636,515880,132330,7035,567141,154176,72231
2020,"NC08","Lean Rep","R",0.065675132,"North Carolina","NC",810614,91927,718687,458475,183374,24272,528532,145628,74672
2020,"NC09","Lean Rep","R",0.11184191,"North Carolina","NC",768917,70800,698117,444585,139213,27278,528279,186486,99605
2020,"NC10","R","R",0.378151954,"North Carolina","NC",776691,59306,717385,574048,92926,13536,543603,139807,70604
2020,"NC11","Lean Rep","R",0.121609704,"North Carolina","NC",768561,60191,708370,633443,22630,8905,561332,148629,67562
2020,"NC12","D","D",-1,"North Carolina","NC",905489,155024,750465,344169,308719,56588,590334,244214,88198
2020,"NC13","R","R",0.363637988,"North Carolina","NC",799942,75770,724172,488262,170516,28843,537459,159874,75602
2020,"ND00","R","R",0.414116502,"North Dakota","ND",779094,33412,745682,636160,26152,13050,497525,152653,85506
2020,"NE01","R","R",0.218486866,"Nebraska","NE",659816,68366,591450,518876,19638,17180,415304,136031,80672
2020,"NE02","Toss Up","R",0.045598613,"Nebraska","NE",701005,88818,612187,478153,66559,30515,440730,180726,94366
2020,"NE03","R","R",0.608386512,"Nebraska","NE",600683,77531,523152,487658,8208,4664,403506,92558,71299
2020,"NH01","Likely Dem","D",-0.051033168,"New Hampshire","NH",697737,29974,667763,609416,10258,17226,488247,185827,102727
